id,spare_code,spare_category,spare_name_th,spare_name_en,spare_description,spare_location,spare_brand,spare_model,spare_dealer,spare_price,spare_pic,spare_amount,spare_min,spare_install_date,spare_start_work,spare_stop_work,note,status
159,KS-10-01,motor,มอเตอร์,Motor,,Kernal Recovery Station,SEW eurodrive,DFV132S4,,,engine.png,,,,,,,Active
160,KS-10-02,GEAR,เกียร์,Gear,,Kernal Recovery Station,SEW eurodrive,R87/A,,,engine.png,,,,,,,Active
161,KS-11,Elevator,กะพ้อตักเมล็ด,Nut Elevator,,Kernal Recovery Station,HSS,,,,engine.png,,,,2015-09-20,,,Wait_technician
162,KS-11-01,motor,มอเตอร์,Motor,,Kernal Recovery Station,SEW eurodrive,DRS132M4/FG,,,engine.png,,,,,,,Active
163,KS-11-02,GEAR,เกียร์,Gear,,Kernal Recovery Station,SEW eurodrive,R97 DRS132M4,,,engine.png,,,,,,,Active
164,KS-12,Screw Conveyor,สกรูลำเลียงเมล็ดลงถัง,Nut Distribution Conveyor,,Kernal Recovery Station,HSS,,,,engine.png,,,,2015-09-20,,,Wait_technician
165,KS-12-01,motor,มอเตอร์,motor,,Kernal Recovery Station,SEW eurodrive,DRSW132M4/FG,,,engine.png,,,,,,,Active
166,KS-12-02,GEAR,เกียร์,Gear,,Kernal Recovery Station,SEW eurodrive,R97 DRS132M4,,,engine.png,,,,,,,Active
167,KS-13,Silo,ถังอบเมล็ด #1,Nut Drying Silo #1,,Kernal Recovery Station,HSS,,,,engine.png,,,,2015-09-20,,,Active
168,KS-14,Silo,ถังอบเมล็ด #2,Nut Drying Silo #2,,Kernal Recovery Station,HSS,,,,engine.png,,,,2015-09-20,,,Active
169,KS-15,Blower,พัดลมอบเมล็ด #1,Dry Nut Fan #1,,Kernal Recovery Station,Novenco,LED-1014-4-L1,,,engine.png,,,,2015-09-20,,,Active
170,KS-15-01,motor,มอเตอร์,Motor,,Kernal Recovery Station,SEW eurodrive,DRS132S4/FG,,,engine.png,,,,,,,Active
171,KS-15-02,GEAR,เกียร์,Gear,,Kernal Recovery Station,SEW eurodrive,R137DRS132S4,,,engine.png,,,,,,,Active
172,KS-16,Blower,พัดลมอบเมล็ด #2,Dry Nut Fan #2,,Kernal Recovery Station,Novenco,LED-1014-4-L1,,,engine.png,,,,2015-09-20,,,Wait_assignment
173,KS-16-01,motor,มอเตอร์,Motor,,Kernal Recovery Station,SEW eurodrive,DRS132S4/FG,,,engine.png,,,,,,,Active
174,KS-16-02,GEAR,เกียร์,Gear,,Kernal Recovery Station,SEW eurodrive,R137DRS132S4,,,engine.png,,,,,,,Active
175,KS-17,Screw Conveyor,สกรูลำเลียงเมล็ด,Dry Nut Conveyor,,Kernal Recovery Station,HSS,,,,engine.png,,,,2015-09-20,,,Active
